Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-12,2016,4,12,Tuesday,15,2016-15,72.91,73.33,72.78,73.22,2776300,53.64,0.0048030399196687945,54.026428571428575,52.33559999999999
2016-04-13,2016,4,13,Wednesday,15,2016-15,73.44,73.44,72.41,72.8,1790700,53.33,-0.00573582695387076,53.98928571428571,52.3842
2016-04-14,2016,4,14,Thursday,15,2016-15,72.8,73.1,72.41,72.7,1620000,53.26,-0.0013739023640948478,53.95142857142857,52.4356
2016-04-15,2016,4,15,Friday,15,2016-15,72.87,73.26,72.58,73.05,2405200,53.51,0.004814342852407449,53.94571428571429,52.49139999999999
2016-04-18,2016,4,18,Monday,16,2016-16,73.05,73.16,72.16,72.87,2656800,53.38,-0.002464105170130071,53.85285714285715,52.5374
2016-04-19,2016,4,19,Tuesday,16,2016-16,72.78,73.15,72.48,72.82,2431100,53.35,-0.0006863629367158675,53.75214285714286,52.5736
2016-04-20,2016,4,20,Wednesday,16,2016-16,72.98,73.09,71.02,71.08,2552000,52.07,-0.023894255683581056,53.54071428571428,52.607
2016-04-21,2016,4,21,Thursday,16,2016-16,71.08,71.08,69.28,69.51,3555300,50.92,-0.022087791324162054,53.23285714285714,52.6038
2016-04-22,2016,4,22,Friday,16,2016-16,69.6,70.25,69.6,70.06,2552400,51.32,0.007912548817136766,52.99571428571428,52.6106
2016-04-25,2016,4,25,Monday,17,2016-17,70.07,70.34,69.78,70.2,2588500,51.43,0.001998302565127563,52.84714285714285,52.6354
2016-04-26,2016,4,26,Tuesday,17,2016-17,70.25,70.57,69.69,69.9,2322600,51.21,-0.004273399348208473,52.69785714285714,52.6596
2016-04-27,2016,4,27,Wednesday,17,2016-17,70.14,71.22,69.94,70.75,3244300,51.83,0.01215984214181276,52.58142857142857,52.6932
2016-04-28,2016,4,28,Thursday,17,2016-17,70.22,71.09,70.05,71.03,2678200,52.04,0.003957923073684588,52.47642857142857,52.722
